0,1,2
73,3465,43.18
50,94,92.46
9,7662,31.57
34,3886,72.51
51,2860,25.7
54,747,39.92
36,9175,39.92
77,458,24.06
55,9727,39.99
42,826,9.53
1,1848,95.03
2,1782,36.36
98,6060,48.86
62,5047,82.57
14,7131,61.82
40,4846,70.77
64,3796,58.77
46,8168,62.56
55,2637,87.39
26,2770,59.47
14,7162,84.08
21,5738,98.12
97,2621,84.11
96,9070,66.67
2,3378,28.06
22,8178,53.8
34,2487,61.26
47,9404,42.09
37,3673,0.26
99,3480,73.26
68,7412,10.64
15,4245,83.77
65,5034,0.17
99,5086,24.65
12,2249,63.24
38,5357,73.46
77,2537,54.4
38,212,35.58
21,4863,8.63
29,3474,68.45
1,3403,9.4
41,5066,24.85
25,6953,58.97
5,1702,93.1
92,9210,19.25
43,3373,11.75
23,2960,86.54
87,4114,13.95
93,8893,47.67
78,9756,90.28
3,1831,81.86
73,4870,27.14
77,690,20.45
63,8260,10.72
29,2373,77.66
88,8233,27.45
72,4614,39.94
84,3580,39.67
13,528,71.87
67,9066,20.26
7,5328,48.77
29,7611,25.68
29,6322,33.77
11,660,13.54
83,90,34.23
29,9135,22.66
90,2061,16.71
3,3000,21.27
10,8964,58
98,2608,41.87
64,2815,50.82
56,3047,99.16
94,5727,83.52
11,651,1.02
70,7291,68.6
54,6492,41.73
68,8835,57.9
70,1370,82.9
17,2994,27.8
80,40,15.32
66,5146,97.91
72,5265,93.5
50,2646,72.96
2,8157,79.03
4,8168,87.66
70,2826,24.41
81,1530,21.53
37,5427,67.18
14,8928,5.7
17,5810,45.04
77,7251,23.47
2,2733,45.51
33,9074,26.98
71,5423,3.81
24,4053,72.17
93,5904,47.05
4,9709,82.45
0,1138,89.68
3,5101,23.71
22,1849,71.58
17,2249,83.89
82,1647,23.79
20,525,2.96
13,1565,90.44
64,284,88.09
75,132,69.93
79,8896,12.79
50,5960,11.78
39,3450,96.6
8,1316,37.78
23,7641,99.84
39,8902,15.44
50,7766,41.49
53,2441,7.84
45,4759,50.69
84,6873,61.99
1,7702,87.87
51,1261,25.16
46,3321,2.1
97,8219,94.2
69,5312,72.35
41,4657,15.02
38,2218,44.21
63,7661,80.5
34,683,42.86
69,1341,59.96
63,9008,34.75
63,7971,36.77
6,1915,51.97
52,2194,59.67
26,1179,59.27
50,9693,48.39
88,8706,69.28
37,3816,42.74
72,8517,44.46
49,4584,32.57
67,4345,94.49
29,6267,82.04
60,7158,35.38
5,1371,72.73
23,2762,91.51
72,4699,71.41
76,2476,2.63
9,9107,69.01
34,5182,34.23
49,9276,73.7
49,2987,97.99
88,6891,8.79
9,4298,32.69
69,9073,79.43
17,356,15.24
46,2786,10.4
33,7939,71.61
93,3885,78.04
8,8135,92.1
96,2817,46.16
72,8694,65.35
65,5570,69.77
52,99,13.16
94,9403,57.78
19,3840,8.24
18,3924,12.24
60,3991,58.9
54,7612,97.01
55,8688,49.38
14,802,43.3
10,9241,46.66
5,9324,47.6
52,6633,9.97
2,2733,3.57
28,9143,79.43
35,6476,24.53
30,4904,79.53
16,9293,12.72
18,1041,12.46
50,2604,32.52
29,3444,53.54
51,4722,14.91
41,1399,73.64
5,9242,93.08
33,2534,57.61
8,8756,65.18
23,9419,78.56
60,7235,87.1
36,2038,62.78
31,5529,99.83
27,8993,86.19
25,9517,99.6
4,5824,32.99
73,6126,25
56,5544,31.19
34,1370,87.89
82,7481,13.57
57,9090,79.54
98,4751,22.6
58,5049,84.44
54,9733,30.31
68,1376,12.14
17,4527,80.16
34,40,75.3
33,501,89.44
18,8739,92.21
89,2187,96.02
51,8293,11.56
17,5733,32.7
41,5821,37.29
69,4772,15.81
39,3714,57.62
10,2009,62.94
4,91,11.4
45,2239,25.33
67,199,2.2
70,6380,54.89
14,8298,83.44
11,1590,31.25
92,8382,85.29
98,7530,27.84
93,6358,54.15
92,6918,15.55
28,9718,30.03
25,5120,27.82
40,9704,73.79
73,7424,11.63
68,761,8.93
83,8686,25.94
29,5905,27.44
79,1350,20.37
57,4957,83.63
68,8722,72.27
18,5289,11.2
70,6181,13.54
39,1526,62.65
53,2966,54.14
46,8784,52.58
47,1041,91.3
90,5734,45.01
60,3206,88.39
42,91,0.59
93,6717,51.77
8,4273,8.99
41,5894,50.38
77,9625,52.45
8,7368,59.82
45,5844,32.37
32,3027,37.53
4,2128,96.3
77,1145,77.77
6,6234,12.76
39,127,14.89
9,8142,72.22
13,2678,80.2
15,1076,27.66
16,9194,17.59
62,9184,33.65
4,5987,81.8
38,2108,51.46
8,7353,26.12
16,498,85.54
30,5613,86.36
34,708,22.16
86,6001,72.65
98,112,20.25
89,6961,38.27
19,345,91.38
30,6313,66.08
6,4724,67.66
84,8839,88.12
17,8348,89.42
26,8064,38.29
2,9202,20.4
96,8737,24.44
45,36,66.97
63,6927,25.48
32,3690,24.34
45,5969,8.23
33,3381,42.68
28,5290,56.31
57,4148,33.83
13,8795,81.2
51,2484,53.62
72,3254,86.07
3,4040,92.03
5,8397,17.73
26,5099,2.32
79,3655,43.43
27,831,68.54
89,5928,69.98
40,1349,30.43
58,1058,2.44
43,3225,16.82
95,8688,39.64
61,2423,42.08
83,9862,34.06
63,9506,14.08
96,2921,64.82
7,491,12.44
67,1904,75.2
46,1676,11.26
73,7071,79.6
76,3754,99.13
50,9031,26.94
47,5223,18.74
29,9497,59.74
86,5548,52.15
86,5437,57.02
78,4538,47.05
27,1313,82.62
86,8087,68
12,9192,56.17
81,8434,1.54
33,9133,75.22
81,5460,81.8
60,7046,51.8
52,4426,82.45
39,4762,63.37
25,5810,72.79
71,3786,11.02
12,8427,87.17
1,4401,91
10,1959,88.82
16,8603,16.28
25,8822,77.21
49,2015,12.1
42,8722,26.9
16,4756,92.49
48,5540,3.41
61,2037,55.74
21,2160,55.29
31,4891,85.42
8,2337,64.09
85,489,28.97
31,9770,65.22
40,9101,4.52
53,206,19.85
10,9851,7.09
54,2107,25.1
26,5289,41.11
60,2946,56.84
72,9426,54.22
89,5409,29.35
45,9298,78.18
29,2955,1.09
81,8083,76.76
34,5904,54.24
78,5740,34.54
46,3162,52.3
33,1398,91.97
27,8183,18.14
50,6508,57.14
46,4213,6.63
37,2828,55.34
47,5224,6.51
84,9371,3.53
8,761,67.69
79,1235,77.6
99,65,40.9
47,469,17.56
94,1796,32.07
56,3666,21.69
26,7171,84.73
10,9148,20.29
29,3717,1.22
70,3062,96.81
29,1763,19.92
0,7021,0.94
52,6641,16
16,811,3.08
93,2814,96.39
34,984,38.24
89,5139,38.84
50,6413,87.36
26,7859,48.69
54,6492,6.61
4,9987,76.72
6,9820,63.37
69,5091,24.85
63,8873,95.62
84,2876,83.76
77,2947,66.27
80,7275,6.53
91,5795,61.11
2,413,90.56
41,4783,29.81
23,9769,35.02
15,6743,73.07
28,7776,31.04
68,425,75.54
30,9282,69.24
28,5197,69.02
80,2064,0.4
2,325,14.74
80,4191,2.12
30,5613,23.06
99,5764,59.48
43,6220,18.87
67,2433,90.54
19,7548,3.96
71,2853,3.06
57,8224,71.96
51,11,52.74
97,1870,34.15
38,9312,89.47
95,9173,48.44
19,6383,24.04
6,2212,70.27
18,7261,95.9
49,1806,52.2
75,7123,18.26
80,1382,36.8
1,6226,13.58
78,4541,23.92
54,1768,50.1
23,3996,8.73
51,2508,2.82
10,4461,92.98
88,550,35.42
2,2455,27.53
42,3230,67.07
74,1034,9.34
55,4887,28.72
44,7670,9.09
23,9627,0.15
1,1571,54.76
23,7175,5.75
62,3208,72.87
25,2703,13.43
17,2522,82.31
12,8503,21.19
31,1420,82.05
93,474,80.37
69,5802,90.42
67,7019,13.4
89,7182,71.3
59,3218,83.9
19,821,86.57
98,4168,20.56
82,4249,15.22
63,2008,65.12
20,898,88.37
65,607,99.17
24,712,32.61
53,6452,55.25
49,6978,48.78
29,4171,74.29
64,6741,82.21
7,1524,75.79
92,53,69.15
34,8220,66.71
24,6995,25.1
62,2804,95.6
17,6966,17.77
39,915,15.58
33,8208,45.02
70,2407,32.25
10,9724,21.27
23,3875,29.63
45,8382,13.61
23,2361,82.84
1,5461,94.01
66,9226,8.36
85,8806,90.3
82,2162,76.47
25,9505,41.58
8,1627,52.56
29,9114,47.38
90,8212,37.06
19,662,11.84
77,587,49.01
19,8833,66.53
8,4331,85.24
61,5459,98.74
82,1230,56.9
10,6769,25.82
97,2226,55.77
92,1911,43.22
72,9760,86.13
52,9649,98.87
27,2006,62.17
62,3670,58.8
93,2828,87.72
73,6835,20.42
59,1238,68.66
70,8695,65.63
19,4337,59.51
59,7847,97.76
89,9734,61.44
47,4688,61.35
33,3573,48
10,8161,57.1
15,7878,41.76
55,6969,90.14
12,1305,31.96
84,1042,58.97
82,9540,60.09
18,5318,14.65
16,7788,5.15
29,9077,35.16
40,249,50.36
56,6999,99.23
98,4371,98.01
67,9161,89.95
90,2149,65.74
21,2587,4.12
41,3777,25.25
79,498,33.84
27,3826,87.13
69,1892,70.95
90,831,16.47
90,7735,28.75
39,8345,66.47
53,8856,19.9
43,2592,16.45
37,5887,21.06
84,6784,63.15
90,1852,22.39
99,8041,45.12
67,8186,71.6
22,1,16.62
56,1758,24.79
8,2387,10.56
48,7411,32.15
76,2820,38.3
51,3928,97.96
63,4685,81.81
50,6015,28.12
42,9567,56.53
58,8543,23.89
17,3399,86.6
29,4046,0.65
39,5429,12.81
29,235,25.75
9,1183,69.05
60,578,23.11
39,9009,97.54
34,4396,11.58
35,6036,32.29
68,4474,84.49
20,1542,88.94
39,870,72.77
19,5016,46
67,2237,84.27
9,2910,53.06
81,8443,38.82
42,3159,44.66
82,7931,41.67
64,8497,28.32
94,9132,54.34
15,7963,29.35
72,8486,4.78
48,8251,42.67
44,1146,37.82
52,4954,88.54
42,4248,16.1
81,4019,30.05
29,9428,52.03
15,513,90.87
3,6327,76.22
32,2645,31.88
74,1960,14.47
57,2504,31.33
88,5742,84.68
46,3123,3.33
6,8425,97.42
88,9125,60.93
56,596,18.78
62,9806,19.49
42,5941,74.65
90,1928,26.4
51,273,25.63
41,2718,38.08
64,6661,44.05
28,4653,83.41
63,9731,50.21
0,3351,38.7
31,7008,97.82
77,8716,11.39
15,346,83.67
67,356,7.75
48,4821,76.17
38,994,62.43
85,9697,94.42
8,2702,8.55
59,1116,17.47
96,9344,50.07
63,2505,43.43
11,71,18.76
75,919,54.71
5,7024,65.83
2,3376,87.47
1,5707,37.58
34,4090,58.25
26,1494,36.3
56,6165,99.63
83,453,1.35
4,5012,16.99
55,9405,98.36
87,4743,88.6
42,983,8.22
11,1558,13.35
9,7364,51.14
47,5637,65.29
86,1990,52.29
1,2383,92.87
54,7247,64.26
19,3244,72.12
50,1883,22.42
90,3924,60.03
32,7307,27.94
54,4300,53.85
72,1864,32.7
56,2759,60.1
68,9863,11.59
63,8736,27.06
35,2035,40.74
87,9491,50.17
28,1069,40.81
99,3807,12.55
2,3079,70.19
70,5664,35.41
62,2174,2.95
62,8283,49.09
86,7909,22.88
86,5260,20.14
63,853,38.82
15,6526,85
67,1261,44.17
0,4272,63.14
14,6128,59.14
80,4510,48.42
20,2351,50.43
79,20,3.37
20,9950,40.3
52,1800,40.99
30,6689,46.01
20,674,40.43
51,3200,30.36
63,5239,97.17
50,3186,10.74
98,6253,50.63
15,6009,15.7
93,4556,35.04
26,7999,32.83
64,9126,83.61
66,9567,59.01
58,9517,38.15
73,7284,33.46
65,1004,23.14
96,1562,14.16
12,363,57.1
43,7682,4.91
24,9912,76.3
72,7297,8.71
50,1445,65.32
38,583,98.73
44,7462,27.94
7,3301,6.12
37,6562,51
58,5648,68.54
64,4403,65.11
12,3287,77.17
7,5314,33.13
38,8040,9.59
4,3278,49.83
51,918,50.38
68,8914,41.92
14,836,77.88
25,7279,30.25
74,4123,43.01
36,9000,45.13
67,441,1.69
93,90,84.93
12,7913,56.17
27,4141,34.42
17,4044,9.45
64,9397,10.19
92,962,84.07
66,7205,68.55
58,8097,73.2
54,2505,44.53
87,7530,70.63
98,2429,53.97
52,4861,61.21
53,7086,23.88
46,7143,59.33
92,9750,67.34
12,7856,76
41,2406,90.19
27,8067,16.13
14,2810,70
27,7159,14.82
92,5988,30.54
20,5652,53.97
71,7875,19.43
35,3320,10.71
51,878,6.64
84,3630,4.19
35,7928,88.41
20,323,24.88
33,1240,62.59
0,5817,61.96
66,3834,15.82
84,4514,10.72
63,1324,43.99
71,1709,20.27
9,9013,88.03
66,967,16.45
84,3155,57.8
4,7685,96.5
47,8300,15.54
92,1205,11.22
42,9723,99.41
19,5420,39.48
54,3059,38.81
37,6377,35.73
7,5628,38.64
10,2749,54.8
5,103,14.21
2,9183,91.27
87,4955,45.55
93,3711,72.79
63,6644,60.41
43,9732,36.54
70,5865,26.62
33,7134,36.26
5,3705,9.69
6,9809,36.37
58,5051,80.29
89,6602,35.05
33,7504,61.12
46,1103,30.82
4,5178,66.6
60,4784,51.16
29,8164,68.42
11,205,29.83
63,3509,10.33
25,3900,9.29
44,2119,22.96
43,9686,75.41
10,8698,89.65
54,3208,93.87
53,5770,17.57
76,938,74.67
7,7871,32.57
7,2801,30.69
44,2322,62.03
94,656,62.37
30,7041,16.81
10,7669,98.23
50,3904,86.18
79,9063,74.12
42,2805,74.2
10,7299,44.27
56,687,72.05
8,846,70.53
7,8749,39.91
61,91,63.06
91,9951,81.25
54,1116,22.7
13,3489,47.42
4,6227,42.72
65,5568,97.96
98,7911,20.27
32,9415,89.53
7,3688,68.17
59,9584,24.4
67,3639,87.33
51,600,23.16
7,340,80.98
86,6551,13.64
74,7824,44.4
43,3089,97.78
66,1516,12.61
86,3452,91.82
67,273,65.54
94,2867,13.71
20,7596,18.1
89,7946,82.94
44,2920,83.66
6,7129,2.75
81,1985,84.87
79,7100,40.83
88,4660,34.28
76,2606,92.14
20,6723,18.85
90,8046,48.8
87,214,1.47
67,7232,84.86
30,3826,24.19
79,8749,3.03
38,5035,20.79
72,4489,71.87
82,9687,28.63
16,144,7.74
84,5684,12.95
86,5661,64.77
47,1034,65.53
59,6396,13.87
88,819,83.11
26,1128,69.38
29,5426,36.83
39,7494,17.64
91,7088,57.15
5,7922,66.23
36,3448,1.77
63,6298,30.92
